timestamp,date,time,source,total_objects,object_names,image_path
2026-06-13T22:05:30.657124,2026-06-13,22:05:30,webcam,1,person,output/object\webcam_detect_20260613_220530_6519.jpg
2026-06-13T22:05:33.725912,2026-06-13,22:05:33,webcam,1,person,output/object\webcam_detect_20260613_220533_7209.jpg
2026-06-13T22:05:36.781399,2026-06-13,22:05:36,webcam,1,person,output/object\webcam_detect_20260613_220536_7766.jpg
2026-06-13T22:05:39.912445,2026-06-13,22:05:39,webcam,1,person,output/object\webcam_detect_20260613_220539_9073.jpg
2026-06-13T22:05:43.107618,2026-06-13,22:05:43,webcam,1,person,output/object\webcam_detect_20260613_220543_1018.jpg
2026-06-13T22:05:46.156338,2026-06-13,22:05:46,webcam,1,person,output/object\webcam_detect_20260613_220546_1510.jpg
2026-06-13T22:05:49.229591,2026-06-13,22:05:49,webcam,1,person,output/object\webcam_detect_20260613_220549_2244.jpg
2026-06-13T22:05:52.530147,2026-06-13,22:05:52,webcam,1,person,output/object\webcam_detect_20260613_220552_5154.jpg
2026-06-13T22:05:56.813457,2026-06-13,22:05:56,webcam,1,person,output/object\webcam_detect_20260613_220556_8019.jpg
2026-06-13T22:06:00.280379,2026-06-13,22:06:00,webcam,1,person,output/object\webcam_detect_20260613_220600_2655.jpg
2026-06-13T22:06:03.762515,2026-06-13,22:06:03,webcam,1,person,output/object\webcam_detect_20260613_220603_7547.jpg
2026-06-13T22:06:06.848511,2026-06-13,22:06:06,webcam,2,person,output/object\webcam_detect_20260613_220606_8435.jpg
2026-06-13T22:06:10.019722,2026-06-13,22:06:10,webcam,3,"person, chair",output/object\webcam_detect_20260613_220609_8923.jpg
2026-06-13T22:06:12.997159,2026-06-13,22:06:12,webcam,1,person,output/object\webcam_detect_20260613_220612_9921.jpg
2026-06-13T22:06:16.359859,2026-06-13,22:06:16,webcam,1,person,output/object\webcam_detect_20260613_220616_3043.jpg
2026-06-13T22:06:19.381824,2026-06-13,22:06:19,webcam,1,person,output/object\webcam_detect_20260613_220619_3762.jpg
2026-06-13T22:06:22.392440,2026-06-13,22:06:22,webcam,1,person,output/object\webcam_detect_20260613_220622_3858.jpg
2026-06-13T22:06:25.782387,2026-06-13,22:06:25,webcam,1,person,output/object\webcam_detect_20260613_220625_7638.jpg
2026-06-13T22:06:28.806923,2026-06-13,22:06:28,webcam,1,person,output/object\webcam_detect_20260613_220628_8011.jpg
2026-06-13T22:06:31.813022,2026-06-13,22:06:31,webcam,1,person,output/object\webcam_detect_20260613_220631_8042.jpg
2026-06-13T22:06:35.233185,2026-06-13,22:06:35,webcam,1,person,output/object\webcam_detect_20260613_220635_2278.jpg
2026-06-13T22:06:38.436300,2026-06-13,22:06:38,webcam,1,person,output/object\webcam_detect_20260613_220638_4312.jpg
2026-06-13T22:06:43.465492,2026-06-13,22:06:43,webcam,1,person,output/object\webcam_detect_20260613_220643_4526.jpg
2026-06-13T22:06:47.828178,2026-06-13,22:06:47,webcam,1,person,output/object\webcam_detect_20260613_220647_8206.jpg
2026-06-13T22:06:50.851652,2026-06-13,22:06:50,webcam,1,person,output/object\webcam_detect_20260613_220650_8469.jpg
2026-06-13T22:06:53.878610,2026-06-13,22:06:53,webcam,1,person,output/object\webcam_detect_20260613_220653_8738.jpg
2026-06-13T22:06:56.983844,2026-06-13,22:06:56,webcam,1,person,output/object\webcam_detect_20260613_220656_9786.jpg
2026-06-13T22:07:00.067337,2026-06-13,22:07:00,webcam,2,"person, banana",output/object\webcam_detect_20260613_220700_0629.jpg
2026-06-13T22:07:03.080009,2026-06-13,22:07:03,webcam,2,person,output/object\webcam_detect_20260613_220703_0754.jpg
2026-06-13T22:07:06.761130,2026-06-13,22:07:06,webcam,1,person,output/object\webcam_detect_20260613_220706_7524.jpg
2026-06-13T22:07:10.043760,2026-06-13,22:07:10,webcam,1,person,output/object\webcam_detect_20260613_220710_0344.jpg
2026-06-13T22:07:13.347710,2026-06-13,22:07:13,webcam,1,person,output/object\webcam_detect_20260613_220713_3411.jpg
2026-06-13T22:07:16.679892,2026-06-13,22:07:16,webcam,1,person,output/object\webcam_detect_20260613_220716_6696.jpg
